id_bloc,bloc,id_parcelle,n_parcelle,surface_parcelle,id_carre,n_carre,surface_carre,id_arbre,n_arbre,nom_inventaire,nom_scientifique,x_parcelle_mesure,y_parcelle_mesure,xy_dd_4326,hom,hom_circumference,is_alive,code_mortality_abbr,code_observation_abbr,date_mesure,annee_campagne
2,F2 La Lolé,24,24,4,39,3,1,33557,55,Poungui,Bosqueia angolensis,97.0,25.0,17.8655246785185469 3.82238852806267859,,259.5,true,,,2012-06-04,2012
2,F2 La Lolé,24,24,4,39,3,1,33557,55,Poungui,Bosqueia angolensis,97.0,25.0,17.8655246785185469 3.82238852806267859,,259.5,true,,,2015-12-16,2015
2,F2 La Lolé,24,24,4,39,3,1,33558,56,Bonda,Celtis zenkeri,96.0,22.0,17.8655155931579976 3.82236145164611152,,42.5,true,,,2010-06-14,2010
2,F2 La Lolé,24,24,4,39,3,1,33558,56,Bonda,Celtis zenkeri,96.0,22.0,17.8655155931579976 3.82236145164611152,,43.0,true,,,2011-05-25,2011
2,F2 La Lolé,24,24,4,39,3,1,33558,56,Bonda,Celtis zenkeri,96.0,22.0,17.8655155931579976 3.82236145164611152,,43.5,true,,,2012-06-04,2012
2,F2 La Lolé,24,24,4,39,3,1,33558,56,Bonda,Celtis zenkeri,96.0,22.0,17.8655155931579976 3.82236145164611152,,44.0,true,,,2015-12-16,2015
2,F2 La Lolé,24,24,4,39,3,1,33559,57,Ngbété,Manilkara pellegriniana,95.0,23.0,17.8655066278619437 3.8223705173186584,,118.0,true,,,2010-06-14,2010
2,F2 La Lolé,24,24,4,39,3,1,33559,57,Ngbété,Manilkara pellegriniana,95.0,23.0,17.8655066278619437 3.8223705173186584,,120.0,true,,,2011-05-25,2011
2,F2 La Lolé,24,24,4,39,3,1,33559,57,Ngbété,Manilkara pellegriniana,95.0,23.0,17.8655066278619437 3.8223705173186584,,121.0,true,,,2012-06-04,2012
2,F2 La Lolé,24,24,4,39,3,1,33559,57,Ngbété,Manilkara pellegriniana,95.0,23.0,17.8655066278619437 3.8223705173186584,,136.5,true,,,2015-12-16,2015
2,F2 La Lolé,24,24,4,39,3,1,33560,58,Mobedemboko,Dasylepis seretii,95.0,26.0,17.8655067179102183 3.82239762388587723,,38.5,true,,,2010-06-14,2010
2,F2 La Lolé,24,24,4,39,3,1,33560,58,Mobedemboko,Dasylepis seretii,95.0,26.0,17.8655067179102183 3.82239762388587723,,39.0,true,,,2011-05-25,2011
2,F2 La Lolé,24,24,4,39,3,1,33560,58,Mobedemboko,Dasylepis seretii,95.0,26.0,17.8655067179102183 3.82239762388587723,,38.5,true,,,2012-06-04,2012
